mpirun -n ${SLURM_NTASKS} -ppn 1 --host ice1,ice2 /home/ra56kop/loc-libs/osu-micro-benchmarks-7.0.1/install/libexec/osu-micro-benchmarks/mpi/pt2pt/osu_bw -m 128:268435456
# OSU MPI Bandwidth Test v7.0
# Size      Bandwidth (MB/s)
128                   395.67
256                   758.03
512                  1473.59
1024                 2480.20
2048                 4154.41
4096                 6025.75
8192                 7688.46
16384                8507.30
32768               11936.09
65536               18284.24
131072              21370.60
262144              21730.65
524288              21872.50
1048576             21962.90
2097152             21991.80
4194304             22008.76
8388608             22018.40
16777216            22009.50
33554432            22026.69
67108864            22028.03
134217728           22028.55
268435456           22028.95
