mpirun -n 2 /dss/dsshome1/lxc0D/ra56kop/local_libs/osu-micro-benchmarks-7.0.1/install/libexec/osu-micro-benchmarks/mpi/pt2pt/osu_bw -m 128:268435456
# OSU MPI Bandwidth Test v7.0
# Size      Bandwidth (MB/s)
128                   282.05
256                   513.33
512                   936.28
1024                 1624.21
2048                 2512.83
4096                 3732.31
8192                 5042.32
16384                5611.34
32768                6187.45
65536                6377.87
131072               6371.73
262144               6468.60
524288               6498.35
1048576              6513.40
2097152              6520.98
4194304              6524.80
8388608              6526.52
16777216             6527.75
33554432             6528.24
67108864             6528.51
134217728            6528.68
268435456            6528.70
