mpirun -n 2 /dss/dsshome1/lxc0D/ra56kop/local_libs/osu-micro-benchmarks-7.0.1/install/libexec/osu-micro-benchmarks/mpi/pt2pt/osu_latency -m 128:268435456
# OSU MPI Latency Test v7.0
# Size          Latency (us)
128                     1.85
256                     2.27
512                     2.34
1024                    2.63
2048                    3.17
4096                    4.28
8192                    6.27
16384                  10.25
32768                  12.82
65536                  18.54
131072                 30.74
262144                 47.34
524288                 87.57
1048576               168.22
2097152               329.26
4194304               650.71
8388608              1293.76
16777216             2578.73
33554432             5149.12
67108864            10288.70
134217728           20568.60
268435456           41126.44
