mpirun -n 2 /dss/dsshome1/00/di46nig/loc-libs/osu-micro-benchmarks-7.0.1/install/libexec/osu-micro-benchmarks/mpi/pt2pt/osu_latency -m 128:268435456
# OSU MPI Latency Test v7.0
# Size          Latency (us)
128                     1.62
256                     1.63
512                     1.61
1024                    1.76
2048                    2.06
4096                    2.63
8192                    3.82
16384                   6.38
32768                   8.51
65536                  16.14
131072                 22.38
262144                 33.48
524288                 54.62
1048576                97.33
2097152               187.09
4194304               375.89
8388608               717.83
16777216             1429.28
33554432             2824.57
67108864             5610.33
134217728           11931.36
268435456           23706.36
