mpirun -n 2 /dss/dsshome1/00/di46nig/loc-libs/osu-micro-benchmarks-7.0.1/install/libexec/osu-micro-benchmarks/mpi/pt2pt/osu_bw -m 128:268435456
# OSU MPI Bandwidth Test v7.0
# Size      Bandwidth (MB/s)
128                   283.92
256                   561.75
512                  1098.15
1024                 2028.99
2048                 3504.42
4096                 4589.00
8192                 8012.74
16384                6923.80
32768               10648.44
65536               10188.96
131072              11311.63
262144              11703.29
524288              11888.12
1048576             11962.48
2097152             12021.84
4194304             12044.49
8388608             12059.74
16777216            11949.45
33554432            12069.48
67108864            12071.28
134217728           12057.49
268435456           12071.44
