system,size(bytes),latency(us),bw(MB/s)
coolmuc2,128.0,1.8,282.0
coolmuc2,256.0,2.2,513.3
coolmuc2,512.0,2.3,936.2
coolmuc2,1024.0,2.6,1624.2
coolmuc2,2048.0,3.1,2512.8
coolmuc2,4096.0,4.2,3732.3
coolmuc2,8192.0,6.2,5042.3
coolmuc2,16384.0,10.2,5611.3
coolmuc2,32768.0,12.8,6187.4
coolmuc2,65536.0,18.5,6377.8
coolmuc2,131072.0,30.7,6371.7
coolmuc2,262144.0,47.3,6468.6
coolmuc2,524288.0,87.5,6498.3
coolmuc2,1048576.0,168.2,6513.4
coolmuc2,2097152.0,329.2,6520.9
coolmuc2,4194304.0,650.7,6524.8
coolmuc2,8388608.0,1293.7,6526.5
coolmuc2,16777216.0,2578.7,6527.7
coolmuc2,33554432.0,5149.1,6528.2
coolmuc2,67108864.0,10288.7,6528.5
coolmuc2,134217728.0,20568.6,6528.6
coolmuc2,268435456.0,41126.4,6528.7
sng,128.0,1.6,283.9
sng,256.0,1.6,561.7
sng,512.0,1.6,1098.1
sng,1024.0,1.7,2028.9
sng,2048.0,2.0,3504.4
sng,4096.0,2.6,4589.0
sng,8192.0,3.8,8012.7
sng,16384.0,6.3,6923.8
sng,32768.0,8.5,10648.4
sng,65536.0,16.1,10188.9
sng,131072.0,22.3,11311.6
sng,262144.0,33.4,11703.2
sng,524288.0,54.6,11888.1
sng,1048576.0,97.3,11962.4
sng,2097152.0,187.0,12021.8
sng,4194304.0,375.8,12044.4
sng,8388608.0,717.8,12059.7
sng,16777216.0,1429.2,11949.4
sng,33554432.0,2824.5,12069.4
sng,67108864.0,5610.3,12071.2
sng,134217728.0,11931.3,12057.4
sng,268435456.0,23706.3,12071.4
beast,128.0,1.7,395.6
beast,256.0,2.2,758.0
beast,512.0,2.2,1473.5
beast,1024.0,2.4,2480.2
beast,2048.0,3.1,4154.4
beast,4096.0,3.9,6025.7
beast,8192.0,4.7,7688.4
beast,16384.0,6.8,8507.3
beast,32768.0,8.6,11936.0
beast,65536.0,11.5,18284.2
beast,131072.0,16.7,21370.6
beast,262144.0,26.9,21730.6
beast,524288.0,43.5,21872.5
beast,1048576.0,49.7,21962.9
beast,2097152.0,94.7,21991.8
beast,4194304.0,184.7,22008.7
beast,8388608.0,364.7,22018.4
beast,16777216.0,724.5,22009.5
beast,33554432.0,1444.3,22026.6
beast,67108864.0,2883.6,22028.0
beast,134217728.0,5762.5,22028.5
beast,268435456.0,11521.1,22028.9
